Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
5,Arsenal,38,21,7,10,73,51,22,70,1.84,59,54.1,4.9,0.13,"59,899",28,26.7,58,38,418,"3,420",38,69,52,65,4,5,73,2,1.82,1.37,3.18,1.71,3.08,2,38,38,"3,420",38,51,1.34,174,130,74.7,21,7,10,8,21.1,7,7,0,0,0,28,38,69,465,159,34.2,12.24,4.18,0.14,0.41,16.2,4,5,59,55.1,0.12,10,9.9
14,Bournemouth,38,13,6,19,56,70,-14,45,1.18,54.2,55.6,-1.5,-0.04,"10,532",28,26.6,46.8,38,418,"3,420",38,55,43,48,7,9,60,1,1.45,1.13,2.58,1.26,2.39,3,38,38,"3,420",38,70,1.84,169,103,61.5,13,6,19,10,26.3,5,5,0,0,0,28,38,55,440,155,35.2,11.58,4.08,0.11,0.31,16.4,7,9,54.2,47.3,0.11,0.8,0.7
17,Brighton,38,9,9,20,35,60,-25,36,0.95,34.4,56.2,-21.8,-0.57,"30,426",21,27.4,42.6,38,418,"3,420",38,35,24,30,5,6,61,4,0.92,0.63,1.55,0.79,1.42,2,38,38,"3,420",38,60,1.58,155,104,67.7,9,9,20,7,18.4,10,10,0,0,0,21,38,35,363,100,27.5,9.55,2.63,0.08,0.3,17,5,6,34.4,29.9,0.08,0.6,0.1
15,Burnley,38,11,7,20,45,68,-23,40,1.05,40.8,64.2,-23.4,-0.61,"20,534",23,28,41.2,38,418,"3,420",38,43,32,41,2,2,75,1,1.13,0.84,1.97,1.08,1.92,2,38,38,"3,420",38,68,1.79,196,130,66.3,11,7,20,8,21.1,3,2,1,0,33.3,23,38,43,358,114,31.8,9.42,3,0.11,0.36,15.1,2,2,40.8,39.3,0.11,2.2,1.7
18,Cardiff City,38,10,4,24,34,69,-35,34,0.89,39.4,62.4,-23.1,-0.61,"31,408",25,27.7,35.6,38,418,"3,420",38,33,20,30,3,4,66,1,0.87,0.53,1.39,0.79,1.32,1,38,38,"3,420",38,69,1.82,199,132,67.3,10,4,24,10,26.3,7,4,3,0,42.9,25,38,33,416,114,27.4,10.95,3,0.07,0.26,17,3,4,39.4,36.3,0.09,-6.4,-6.3
3,Chelsea,38,21,9,8,63,39,24,72,1.89,58.9,35.7,23.3,0.61,"40,437",24,27.3,62.8,38,418,"3,420",38,61,52,56,5,5,49,0,1.61,1.37,2.97,1.47,2.84,2,38,38,"3,420",38,39,1.03,122,82,68.9,21,9,8,16,42.1,2,1,1,0,50,24,38,61,601,190,31.6,15.82,5,0.09,0.29,17.3,5,5,58.9,55.1,0.09,2.1,0.9
12,Crystal Palace,38,14,7,17,51,53,-2,49,1.29,50.3,48.7,1.6,0.04,"25,455",26,27.4,45,38,418,"3,420",38,48,33,38,10,11,58,2,1.26,0.87,2.13,1,1.87,3,38,38,"3,420",38,53,1.39,159,108,69.2,14,7,17,12,31.6,5,4,1,0,20,26,38,48,488,133,27.3,12.84,3.5,0.08,0.29,17.2,10,11,50.3,42.2,0.09,-2.3,-4.2
8,Everton,38,15,9,14,54,46,8,54,1.42,48.3,47.5,0.8,0.02,"39,043",23,25.7,51.5,38,418,"3,420",38,53,34,51,2,5,56,4,1.39,0.89,2.29,1.34,2.24,1,38,38,"3,420",38,46,1.21,131,87,66.4,15,9,14,14,36.8,5,2,3,0,60,23,38,53,492,159,32.3,12.95,4.18,0.1,0.32,16.1,2,5,48.3,44.3,0.09,4.7,6.7
19,Fulham,38,7,5,26,34,81,-47,26,0.68,38.8,66.5,-27.7,-0.73,"24,371",28,26,48.6,38,418,"3,420",38,33,24,31,2,3,70,2,0.87,0.63,1.5,0.82,1.45,3,38,38,"3,420",38,81,2.13,219,141,65.3,7,5,26,5,13.2,7,5,1,1,16.7,28,38,33,444,135,30.4,11.68,3.55,0.07,0.23,18.3,2,3,38.8,36.5,0.08,-5.8,-5.5
20,Huddersfield,38,3,7,28,22,76,-54,16,0.42,29.5,62.9,-33.5,-0.88,"23,203",31,26.2,47,38,418,"3,420",38,20,13,19,1,1,56,4,0.53,0.34,0.87,0.5,0.84,3,38,38,"3,420",38,76,2,179,108,61.5,3,7,28,5,13.2,8,7,1,0,12.5,31,38,20,399,115,28.8,10.5,3.03,0.05,0.17,18.1,1,1,29.5,28.7,0.07,-9.5,-9.7
9,Leicester City,38,15,7,16,51,48,3,52,1.37,49.6,45.5,4,0.11,"31,851",25,25.9,51.1,38,418,"3,420",38,48,34,43,5,7,60,5,1.26,0.89,2.16,1.13,2.03,1,38,38,"3,420",38,48,1.26,134,91,67.9,15,7,16,10,26.3,5,5,0,0,0,25,38,48,507,173,34.1,13.34,4.55,0.08,0.25,17.7,5,7,49.6,44.4,0.09,-1.6,-1.4
2,Liverpool,38,30,7,1,89,22,67,97,2.55,75.5,31,44.5,1.17,"52,983",23,26.1,61.7,38,418,"3,420",38,86,55,79,7,7,39,2,2.26,1.45,3.71,2.08,3.53,1,38,38,"3,420",38,22,0.58,98,76,77.6,30,7,1,21,55.3,1,0,0,1,,23,38,86,574,216,37.6,15.11,5.68,0.14,0.37,16.3,7,7,75.5,70.2,0.12,10.5,8.8
1,Manchester City,38,32,2,4,95,23,72,98,2.58,84.6,25.1,59.5,1.57,"54,130",21,26.7,67.8,38,418,"3,420",38,91,71,88,3,4,44,1,2.39,1.87,4.26,2.32,4.18,1,38,38,"3,420",38,23,0.61,78,59,75.6,32,2,4,20,52.6,4,4,0,0,0,21,38,91,678,253,37.3,17.84,6.66,0.13,0.35,16.4,3,4,84.6,81.6,0.12,6.4,6.4
6,Manchester Utd,38,19,9,10,65,54,11,66,1.74,58.8,46.2,12.6,0.33,"74,498",28,26.3,54.5,38,418,"3,420",38,65,40,56,9,12,75,4,1.71,1.05,2.76,1.47,2.53,1,38,38,"3,420",38,54,1.42,170,125,71.8,19,9,10,7,18.4,6,6,0,0,0,28,38,65,516,210,40.7,13.58,5.53,0.11,0.27,18.1,9,12,58.8,49.6,0.1,6.2,6.4
13,Newcastle Utd,38,12,9,17,42,48,-6,45,1.18,38.8,52.8,-14,-0.37,"51,121",24,26.9,40.4,38,418,"3,420",38,41,33,40,1,3,57,2,1.08,0.87,1.95,1.05,1.92,1,38,38,"3,420",38,48,1.26,134,93,68.7,12,9,17,11,28.9,6,6,0,0,0,24,38,41,440,137,31.1,11.58,3.61,0.09,0.29,18.1,1,3,38.8,36.5,0.09,2.2,3.5
16,Southampton,38,9,12,17,45,65,-20,39,1.03,47.5,55.7,-8.2,-0.22,"30,139",30,25.4,43.9,38,418,"3,420",38,44,27,40,4,5,73,3,1.16,0.71,1.87,1.05,1.76,3,38,38,"3,420",38,65,1.71,172,112,63.4,9,12,17,7,18.4,3,2,1,0,33.3,30,38,44,486,156,32.1,12.79,4.11,0.08,0.26,18.1,4,5,47.5,43.9,0.09,-3.5,-3.9
4,Tottenham,38,23,2,13,67,39,28,71,1.87,58.5,45.9,12.7,0.33,"54,216",28,26.8,58.9,38,418,"3,420",38,66,47,62,4,4,57,3,1.74,1.24,2.97,1.63,2.87,3,38,38,"3,420",38,39,1.03,148,112,75.7,23,2,13,13,34.2,5,3,2,0,40,28,38,66,537,187,34.8,14.13,4.92,0.12,0.33,17.2,4,4,58.5,55.5,0.11,7.5,6.5
11,Watford,38,14,8,16,52,59,-7,50,1.32,47.5,54.6,-7.1,-0.19,"20,016",25,28.5,47.1,38,418,"3,420",38,51,39,50,1,1,79,4,1.34,1.03,2.37,1.32,2.34,1,38,38,"3,420",38,59,1.55,173,117,68.2,14,8,16,7,18.4,5,4,1,0,20,25,38,51,434,147,33.9,11.42,3.87,0.12,0.34,16.6,1,1,47.5,46.8,0.11,3.5,3.2
10,West Ham,38,15,7,16,52,55,-3,52,1.37,47.7,60.9,-13.2,-0.35,"58,336",26,27.6,48.7,38,418,"3,420",38,51,33,46,5,5,59,1,1.34,0.87,2.21,1.21,2.08,1,38,38,"3,420",38,55,1.45,192,138,73.4,15,7,16,7,18.4,5,4,1,0,20,26,38,51,438,148,33.8,11.53,3.89,0.11,0.31,16.6,5,5,47.7,44,0.1,3.3,2
7,Wolves,38,16,9,13,47,46,1,57,1.5,48.2,38.7,9.5,0.25,"31,030",21,26.1,46.9,38,418,"3,420",38,46,35,42,4,4,73,1,1.21,0.92,2.13,1.11,2.03,3,38,38,"3,420",38,46,1.21,139,98,69.1,16,9,13,9,23.7,4,3,0,1,0,21,38,46,471,140,29.7,12.39,3.68,0.09,0.3,17.2,4,4,48.2,45.2,0.1,-2.2,-3.2